image_path,text
training_imgs/-4548551644236086193.png,a close up photo of herpes simplex skin condition on arms on white skin
training_imgs/8938987404946448422.png,a at distance photo of herpes simplex skin condition on neck on brown skin
training_imgs/-1340575480650711275.png,a at distance photo of herpes simplex skin condition on arms on brown skin
training_imgs/-1545090829447090603.png,a at distance photo of herpes simplex skin condition on hands on fair skin
training_imgs/2761011390199798183.png,a at distance photo of herpes simplex skin condition on legs on fair skin
training_imgs/5158179525394239842.png,a close up photo of herpes simplex skin condition on hands on white skin
training_imgs/2377128044154932230.png,a at an angle photo of herpes simplex skin condition on legs on fair skin
training_imgs/7836755757138392671.png,a close up photo of herpes simplex skin condition on white skin
training_imgs/5997785294563888355.png,a at distance photo of herpes simplex skin condition on legs on fair skin
training_imgs/7958401754757491846.png,a close up photo of herpes simplex skin condition on hands on fair skin
training_imgs/-60191807411945794.png,a close up photo of herpes simplex skin condition on legs on fair skin
training_imgs/2519585291032607145.png,a at an angle photo of herpes simplex skin condition on neck on brown skin
training_imgs/-8653997701010841176.png,a close up photo of herpes simplex skin condition on face on brown skin
training_imgs/8064981422824571519.png,a close up photo of herpes simplex skin condition on neck on brown skin
training_imgs/7696350726318300806.png,a close up photo of herpes simplex skin condition on white skin
training_imgs/3223640013662199890.png,a close up photo of herpes simplex skin condition on neck on brown skin
training_imgs/4688741281410456578.png,a close up photo of herpes simplex skin condition on arms on brown skin
training_imgs/3434201760584703211.png,a close up photo of herpes simplex skin condition on fair skin
training_imgs/3274473114853778021.png,a close up photo of herpes simplex skin condition on legs on fair skin
training_imgs/8652187035654812446.png,a at an angle photo of herpes simplex skin condition on legs on white skin
training_imgs/472419190488801341.png,a at an angle photo of herpes simplex skin condition on arms on brown skin
training_imgs/-454976303503844455.png,a close up photo of tinea skin condition on legs on fair skin
training_imgs/1438874731854835012.png,a at distance photo of tinea skin condition on back on fair skin
training_imgs/3630731220712902717.png,a close up photo of tinea skin condition on back on fair skin
training_imgs/8898861788754959017.png,a at distance photo of tinea skin condition on feet on fair skin
training_imgs/905167043957992633.png,a at distance photo of tinea skin condition on feet on white skin
training_imgs/-208880250508994115.png,a at an angle photo of tinea skin condition on torso on white skin
training_imgs/2941606640160585348.png,a at an angle photo of tinea skin condition on feet
training_imgs/-3136247653193336048.png,a close up photo of tinea skin condition on feet on fair skin
training_imgs/2232175051925813495.png,a at distance photo of tinea skin condition on feet
training_imgs/-1820250928982581107.png,a close up photo of tinea skin condition on feet
training_imgs/60032766606288611.png,a at an angle photo of tinea skin condition on legs on fair skin
training_imgs/7966177837052634236.png,a at distance photo of tinea skin condition on back on white skin
training_imgs/1116947308828441736.png,a at an angle photo of tinea skin condition on neck on fair skin
training_imgs/4893926487069595319.png,a close up photo of tinea skin condition on arms on white skin
training_imgs/-8687142521108777184.png,a close up photo of tinea skin condition on feet on white skin
training_imgs/6426235072748873062.png,a close up photo of tinea skin condition on legs on fair skin
training_imgs/-2921913052861030168.png,a close up photo of tinea skin condition on back on brown skin
training_imgs/7984532612405347630.png,a close up photo of tinea skin condition on legs on brown skin
training_imgs/2813604903668733873.png,a at an angle photo of tinea skin condition on feet on white skin
training_imgs/-6827948189190717321.png,a close up photo of tinea skin condition on torso on white skin
training_imgs/-8845105500170627037.png,a at an angle photo of tinea skin condition on legs on brown skin
training_imgs/-4856150066452561717.png,a close up photo of tinea skin condition on back on fair skin
training_imgs/2943367903477162427.png,a close up photo of acne skin condition on face on white skin
training_imgs/-6544442737462623993.png,a close up photo of acne skin condition on face on brown skin
training_imgs/1400015652681005446.png,a close up photo of acne skin condition on face on brown skin
training_imgs/-8509651194925877853.png,a at an angle photo of acne skin condition on face on white skin
training_imgs/-7049015325438921007.png,a at an angle photo of acne skin condition on face on white skin
training_imgs/-2641434887280849554.png,a close up photo of acne skin condition on face on brown skin
training_imgs/-535405253019946720.png,a at distance photo of acne skin condition on face on brown skin
training_imgs/8501610783927049928.png,a close up photo of acne skin condition on face on white skin
training_imgs/-9111307368692396870.png,a close up photo of acne skin condition on face on fair skin
training_imgs/1098419093876234729.png,a at distance photo of acne skin condition on face on white skin
training_imgs/-927797147009397266.png,a at an angle photo of acne skin condition on face on white skin
training_imgs/-369547900571553814.png,a close up photo of acne skin condition on face on fair skin
training_imgs/2550882427135902833.png,a at an angle photo of acne skin condition on face on brown skin
training_imgs/7903578211640293426.png,a at distance photo of acne skin condition on face on white skin
training_imgs/-4660809346441849874.png,a close up photo of acne skin condition on face on fair skin
training_imgs/-6883370563107027349.png,a close up photo of acne skin condition on face on white skin
training_imgs/4541897029327248920.png,a at an angle photo of acne skin condition on face on brown skin
training_imgs/8311285227978855700.png,a close up photo of acne skin condition on face on brown skin
training_imgs/4590945578252772634.png,a close up photo of acne skin condition on face on white skin
training_imgs/-7582953284537277597.png,a close up photo of acne skin condition on face on fair skin
training_imgs/7604747975671865575.png,a close up photo of acne skin condition on face on brown skin
training_imgs/-1264081098973340492.png,a at distance photo of acne skin condition on face on brown skin
training_imgs/-149370159562489829.png,a at distance photo of acne skin condition on face on white skin
training_imgs/-3970639053250352440.png,a close up photo of acne skin condition on back on fair skin
training_imgs/4995323676833943296.png,a close up photo of eczema skin condition on arms on brown skin
training_imgs/2216797838786195119.png,a close up photo of eczema skin condition on arms on brown skin
training_imgs/754932103317031965.png,a close up photo of eczema skin condition on legs on white skin
training_imgs/3590489756829695100.png,a at an angle photo of eczema skin condition on arms on white skin
training_imgs/7664588475626098247.png,a close up photo of eczema skin condition on arms on fair skin
training_imgs/5387719994505219906.png,a at an angle photo of eczema skin condition on arms on fair skin
training_imgs/8989852283896041210.png,a close up photo of eczema skin condition on arms on brown skin
training_imgs/2508530986946553819.png,a close up photo of eczema skin condition on fair skin
training_imgs/-1001492676369731180.png,a close up photo of eczema skin condition on arms on white skin
training_imgs/7137165278055001552.png,a close up photo of eczema skin condition on arms on black skin
training_imgs/1235468610727528349.png,a at distance photo of eczema skin condition on hands on fair skin
training_imgs/-5948592183169529123.png,a at an angle photo of eczema skin condition on arms on fair skin
training_imgs/-2943413650732655098.png,a at distance photo of eczema skin condition on arms on white skin
training_imgs/325464533153467313.png,a close up photo of eczema skin condition on arms on white skin
training_imgs/-6547459727768908706.png,a close up photo of eczema skin condition on arms on fair skin
training_imgs/-6051243062560795476.png,a close up photo of eczema skin condition on arms on brown skin
training_imgs/-2367385470888041402.png,a close up photo of eczema skin condition on arms on brown skin
training_imgs/-1466847537458498864.png,a close up photo of eczema skin condition on arms on fair skin
training_imgs/-3599312611917901231.png,a close up photo of eczema skin condition on arms on white skin
training_imgs/6392970153223976603.png,a at an angle photo of eczema skin condition on arms on black skin
training_imgs/-446114786730635224.png,a close up photo of eczema skin condition on legs on white skin
training_imgs/-8739886638448089494.png,a at distance photo of eczema skin condition on arms on brown skin
training_imgs/-7141594063372177636.png,a close up photo of eczema skin condition on white skin
training_imgs/-1067701776636141108.png,a at distance photo of eczema skin condition on arms on fair skin
training_imgs/-7461895286563712603.png,a at an angle photo of eczema skin condition on legs on brown skin
training_imgs/-6662505251950850558.png,a at distance photo of eczema skin condition on hands on white skin
training_imgs/5699857118582020569.png,a at distance photo of eczema skin condition on back on white skin
training_imgs/-9174558387716579919.png,a close up photo of eczema skin condition on arms on fair skin
training_imgs/-826384814862631144.png,a at an angle photo of eczema skin condition on legs on white skin
training_imgs/7903520447837776507.png,a close up photo of eczema skin condition on arms on brown skin
training_imgs/-4580373974243004851.png,a at an angle photo of eczema skin condition on arms on fair skin
training_imgs/-1425041139336616640.png,a at distance photo of eczema skin condition on arms on brown skin
training_imgs/6654209008390333607.png,a at distance photo of eczema skin condition on arms on brown skin
training_imgs/-6125741516004773114.png,a at distance photo of eczema skin condition on hands
training_imgs/2866454509532808925.png,a close up photo of eczema skin condition on arms on white skin
training_imgs/801456210967792864.png,a at an angle photo of eczema skin condition on torso on fair skin
training_imgs/4453049113724733585.png,a at an angle photo of eczema skin condition on legs on fair skin
training_imgs/-4784154530386898261.png,a at distance photo of eczema skin condition on arms on brown skin
training_imgs/7169847981402215980.png,a at distance photo of eczema skin condition on arms on white skin
training_imgs/7518962439947022924.png,a close up photo of eczema skin condition on arms on white skin
training_imgs/-6176512643852086349.png,a close up photo of eczema skin condition on arms on fair skin
training_imgs/-1763889179252826896.png,a at an angle photo of eczema skin condition on hands on white skin
